Hospital,Region,Hospital_Group,Hospital_Beds,National_Total_Beds,National_Beds_Year,Daily_ED_Trolleys,Daily_Ward_Trolleys,Daily_Total,Weekly_ED_Trolleys,Weekly_Ward_Trolleys,Weekly_Total,Yearly_ED_Trolleys,Yearly_Ward_Trolleys,Yearly_Total,Est_Hospital_Attendances,Group_Attendances_ytd,Occupancy_Rate_pct,Traffic_Light_Status,Load_vs_avg_pct,Capacity_Relief_Potential_pct,Behavioural_Impact_Score
Tipperary University Hospital,Country,UL Hospitals Group,115,31568,2024,9,13,22,33,47,80,3056,5630,8686,144610,289219,19.1,Green,109.4,3.8,20.5
University Hospital Limerick,Country,UL Hospitals Group,530,31568,2024,38,59,97,89,118,207,0,577,577,144610,289219,18.3,Green,482.3,3.7,57.4
Sligo University Hospital,Country,Saolta University Health Care Group,320,31568,2024,22,19,41,7,0,7,1036,2254,3290,92349,554092,12.8,Green,203.9,2.6,26.8
"Mid-Western Regional Hospital, Ennis",Country,Saolta University Health Care Group,141,31568,2024,0,13,13,328,734,1062,3042,1938,4980,92349,554092,9.2,Green,64.6,1.8,11.1
St Vincent's University Hospital,Eastern,Ireland East Hospital Group,614,31568,2024,45,10,55,379,54,433,3105,568,3673,120384,722302,9,Green,273.5,1.8,31.8
University Hospital Galway,Country,Saolta University Health Care Group,624,31568,2024,29,16,45,300,196,496,822,1337,2159,92349,554092,7.2,Green,223.8,1.4,26
Letterkenny University Hospital,Country,Saolta University Health Care Group,265,31568,2024,4,14,18,226,211,437,293,321,614,92349,554092,6.8,Green,89.5,1.4,12.4
Mayo University Hospital,Country,Saolta University Health Care Group,323,31568,2024,7,15,22,93,152,245,3225,978,4203,92349,554092,6.8,Green,109.4,1.4,14.3
Naas General Hospital,Eastern,Dublin Midlands Hospital Group,273,31568,2024,16,0,16,138,19,157,1351,0,1351,109395,546976,5.9,Green,79.6,1.2,10.9
Mater Misericordiae University Hospital,Eastern,Ireland East Hospital Group,596,31568,2024,32,0,32,300,0,300,2167,0,2167,120384,722302,5.4,Green,159.1,1.1,18.6
Portiuncula Hospital,Country,Saolta University Health Care Group,226,31568,2024,7,5,12,42,14,56,1425,358,1783,92349,554092,5.3,Green,59.7,1.1,8.6
"Midland Regional Hospital, Portlaoise",Country,Dublin Midlands Hospital Group,165,31568,2024,8,0,8,99,0,99,1254,598,1852,109395,546976,4.8,Green,39.8,1,6.4
Cork University Hospital,Country,South/South West Hospital Group,920,31568,2024,34,10,44,382,91,473,0,548,548,125400,627000,4.8,Green,218.8,1,24.3
University Hospital Kerry,Country,South/South West Hospital Group,220,31568,2024,10,0,10,115,13,128,453,10,463,125400,627000,4.5,Green,49.7,0.9,7.2
Bantry General Hospital,Country,South/South West Hospital Group,79,31568,2024,0,3,3,38,0,38,438,0,438,125400,627000,3.8,Green,14.9,0.8,3.4
Cavan General Hospital,Country,Ireland East Hospital Group,239,31568,2024,9,0,9,111,0,111,2432,1764,4196,120384,722302,3.8,Green,44.8,0.8,6.4
"Midland Regional Hospital, Mullingar",Country,Dublin Midlands Hospital Group,269,31568,2024,8,2,10,49,2,51,546,781,1327,109395,546976,3.7,Green,49.7,0.7,6.8
"Mercy University Hospital, Cork",Country,South/South West Hospital Group,342,31568,2024,3,6,9,65,31,96,1190,459,1649,125400,627000,2.6,Green,44.8,0.5,5.8
"Our Lady of Lourdes Hospital, Drogheda",Country,Ireland East Hospital Group,369,31568,2024,9,0,9,101,0,101,882,0,882,120384,722302,2.4,Green,44.8,0.5,5.7
Beaumont Hospital,Eastern,Ireland East Hospital Group,820,31568,2024,19,0,19,149,0,149,1455,0,1455,120384,722302,2.3,Green,94.5,0.5,10.6
"Connolly Hospital, Blanchardstown",Eastern,Dublin Midlands Hospital Group,371,31568,2024,6,0,6,57,0,57,1471,0,1471,109395,546976,1.6,Green,29.8,0.3,3.8
Wexford General Hospital,Country,Ireland East Hospital Group,228,31568,2024,1,2,3,58,188,246,862,999,1861,120384,722302,1.3,Green,14.9,0.3,2.1
"Our Lady's Children's Hospital, Crumlin",Paediatric,Children's Health Ireland,243,31568,2024,2,0,2,54,3,57,383,52,435,50762,152286,0.8,Green,9.9,0.2,1.4
"National Children's Hospital, Tallaght",Paediatric,Children's Health Ireland,473,31568,2024,1,0,1,65,72,137,79,0,79,50762,152286,0.2,Green,5,0,0.6
St Jamess Hospital,Eastern,,,31568,2024,14,0,14,153,0,153,951,113,1064,,,,Unknown,69.6,,7
"St Lukes General Hospital, Kilkenny",Country,,,31568,2024,12,10,22,0,23,23,284,317,601,,,,Unknown,109.4,,10.9
Temple Street Childrens University Hospital,Paediatric,,,31568,2024,1,0,1,0,41,41,276,0,276,,,,Unknown,5,,0.5
,,,,31568,2024,,,,41,0,41,35,1,36,,,,Unknown,,,0
,,,,31568,2024,,,,2,0,2,268,0,268,,,,Unknown,,,0
,,,,31568,2024,,,,0,3,3,0,27,27,,,,Unknown,,,0
,,,,31568,2024,,,,3,1,4,54,0,54,,,,Unknown,,,0
,,,,31568,2024,,,,2,0,2,18,1,19,,,,Unknown,,,0
